Month,SMALL LoCFP,ME1 CFP2,SMALL HiCFP,BIG LoCFP,ME2 CFP2,BIG HiCFP
197801,-1.05,-1.36,-0.18,-5.86,-4.74,-4.98
197802,2.16,3.55,3.57,-1.48,-0.35,-0.03
197803,7.32,7.02,7.18,5.54,3.84,4.89
197804,8.79,8.38,7.61,9.39,6.22,7.95
197805,8.34,7.92,7.87,3.42,2.77,4.31
197806,1.19,0.21,1.28,-0.98,-0.33,-1.22
197807,5.73,5.17,5.22,5.72,4.72,7.49
197808,10.23,9.48,11.06,5.74,4.42,5.3
197809,0.79,-0.33,0.76,-2.08,-0.62,-1.21
197810,-22.63,-18.91,-19.29,-13.33,-12.08,-13.92
197811,6.87,5.2,4.28,3.53,3.44,3.58
197812,1.9,1.71,1.68,1.2,0.56,1.81
197901,10.57,9.8,10.26,5.87,6.28,6.45
197902,-2.37,-2.1,-1.29,-4.06,-2.83,-3.03
197903,9.9,7.94,7.99,6.99,6.69,9.33
197904,2.43,3.27,3.25,1.4,-0.28,1.89
197905,-1.73,-0.96,1.26,-1.85,-0.56,-1.28
197906,6.45,5.32,4.28,4.13,6.73,5.56
197907,2.4,2.62,2.62,2.47,2.65,3.5
197908,8.08,7.82,7.6,7.45,5.67,7.18
197909,0.62,-0.96,-0.42,-1.15,-0.1,-0.39
197910,-10.27,-9.34,-10.28,-7.97,-8.15,-8.63
197911,8.17,6.54,5.51,7.6,6.54,6.75
197912,8.54,5.66,7.12,3.33,2.35,4.12
198001,12.6,8.49,9.95,4.23,4.71,7.43
198002,-0.58,-1.17,-1.52,-3.8,-3.15,-2.36
198003,-18.82,-15.31,-16.22,-10.12,-10.08,-13.15
198004,5.69,5.59,3.93,6.42,7.38,4.46
198005,7.54,6.87,7.58,7.36,7.37,8.31
198006,3.95,4.81,4.49,3.49,3.9,3.58
198007,12.17,9.3,8.69,11.98,5.6,7.14
198008,10.19,6.25,6.44,4.4,1.27,2.98
198009,5.43,3.7,4.71,4.94,1.84,2.52
198010,6.94,2.86,3.79,1.23,0.65,1.12
198011,10,4.07,3.6,11.28,5.14,7.76
198012,-4.56,-2.52,-2.52,-1.93,0.09,-2.88
198101,-0.98,1.79,2.84,-4.32,-0.88,-1.39
198102,-0.59,1.72,1.4,2.11,2.1,2.22
198103,7.72,8.47,8.26,7.58,7.2,7.09
198104,3.8,4.31,4.5,0.57,-0.02,0.56
198105,3.98,2.89,2.88,2.35,1.88,1.04
198106,-2.95,2.28,1.78,-3.9,1.29,0.36
198107,-3.47,-1.79,-1.6,-0.15,-1.66,-1.31
198108,-9.96,-5.87,-5.25,-7.46,-5.36,-4.58
198109,-11.3,-6.77,-6.04,-7.31,-5.15,-4.21
198110,9.7,6.9,5.63,9.54,6.57,4.39
198111,-0.24,3.77,3.75,2.95,4.27,4.81
198112,-2.81,-1.54,-0.29,-2.51,-2.17,-2.49
198201,-2.66,-1.24,-0.43,-4.58,-2.37,-1.99
198202,-6.01,-2.25,-1.55,-6.54,-3.6,-1.5
198203,-1.87,-0.02,0.3,-2.71,-0.4,0.75
198204,6.16,5.43,5.34,5.12,5.13,4.81
198205,-2.04,-1.33,-1.18,-4.31,-3.97,-3.37
198206,-4.74,-2.16,-0.91,-4.95,-0.95,-1.47
198207,-2.21,-0.95,-0.69,-1.64,-2.52,-3.71
198208,5.37,6.19,5.36,12.25,11.23,13.09
198209,2.21,4,5.26,2.42,3.5,1.23
198210,14.37,12.77,12.26,15.78,12.59,10.92
198211,9.6,9.6,10.92,8.24,4.75,4.18
198212,2.75,2.01,2.64,0.09,1.44,1.75
198301,13.72,7.88,7.64,3.17,2.93,4.46
198302,4.49,5.42,7.4,3.72,3.49,3.47
198303,3.81,5.99,6.73,3.31,4.15,4.18
198304,8.03,8,8.21,5.3,6.73,6.42
198305,12.52,8.58,8.63,3.89,2.43,3.09
198306,5.98,4,3.7,4.54,2.41,2.21
198307,-4.1,-0.42,1.22,-4.94,-2.97,-1.11
198308,-5.53,-2.28,-1.12,-2.44,-0.66,2.41
198309,-0.34,2.04,1.18,2.6,3.28,2.58
198310,-8.28,-4.27,-3.35,-6.41,-1.45,-1.65
198311,3.94,4.2,2.96,6.41,3.85,1.45
198312,-3.05,-0.33,-0.72,-2.49,-0.55,-1.36
198401,-0.76,0.57,1.83,-6.37,-2.52,1.56
198402,-6.65,-5.56,-3.35,-6,-5.07,-3.43
198403,-0.65,1.15,2.42,0.92,2.51,0.83
198404,-2.44,-0.67,-0.39,-0.58,-0.05,-0.54
198405,-5.76,-3.35,-2.7,-6.18,-4.93,-2.81
198406,1.87,2.8,0.41,4.85,3.61,1.17
198407,-5.74,-2.75,-2.27,-3.92,-1.61,-1.68
198408,10.48,9.43,9.63,13.79,11.16,11.34
198409,-2.03,1.51,2.07,-3.16,0.05,2.98
198410,-2.87,-0.45,-0.34,-1.95,0.77,1.47
198411,-5.02,-1.55,-0.79,-3.17,-0.19,1.04
198412,0.15,1.11,2.18,2.96,2.88,2.89
198501,14.53,12.99,9.19,12.34,9.45,6.61
198502,5.35,4.33,4.48,0.86,1.89,2.34
198503,-3.57,-0.6,0.3,-2.8,0.16,2.51
198504,-2.46,0.37,0.21,-2.16,-0.34,0.69
198505,2.25,3.72,3.14,5.19,7.07,5.48
198506,-0.33,1.57,6.31,1.45,1.88,3.13
198507,2.64,2.04,1.71,-0.07,-0.15,-0.61
198508,-1.42,-0.53,-0.07,-1.43,-0.22,0.81
198509,-6.77,-4.4,-4.35,-4.65,-3.92,-4.64
198510,1.19,3.45,2.74,4.81,5.19,5.51
198511,5.73,5.81,6.13,8.16,7.25,5.51
198512,3.54,3.52,3.34,4.46,4.5,3.92
198601,3.67,2.56,3.64,1.46,1.39,2.14
198602,5.57,6.15,7.06,8.11,8.67,7.19
198603,3.43,5.14,6.86,5.76,6.14,4.81
198604,1.65,1.68,1.42,0.77,-0.7,-2.11
198605,3.47,3.66,2.88,6.17,5.66,4.45
198606,-0.74,-0.06,2.3,1.19,1.04,2.46
198607,-9.49,-7.49,-6.8,-8.26,-6.63,-2.11
198608,1.25,2.09,2.84,6.46,6.01,8.57
198609,-7.62,-5.64,-3.87,-8.56,-7.92,-6.63
198610,2.56,2.36,2.64,6.12,5.15,5.2
198611,-1.02,0,0.42,0.96,1.05,0.8
198612,-3.72,-2.49,-3.17,-3.21,-2.96,-2.77
198701,11.23,10.88,11.09,14.39,11.91,11.17
198702,8.06,7.13,6.58,7.88,6.29,1.52
198703,2.69,2.27,3.65,1.06,1.25,0.89
198704,-3.08,-2.11,-2.77,-3.02,-2.46,-3.08
198705,0.03,0.22,0.82,0.78,0.52,-0.45
198706,1.44,3.48,3.08,4.38,5.85,3.73
198707,2.59,3.33,3.44,5.14,4.37,3.08
198708,1.75,2.43,2.85,4.2,3.79,3.01
198709,-1.56,-1.11,-0.1,-3.01,-2.18,-1.26
198710,-30.82,-27.44,-27.15,-26.3,-24.59,-18.39
198711,-6.42,-4.74,-2.97,-6.94,-5.9,-5.35
198712,3.69,5.6,3.83,11.15,8.73,5.54
198801,7.11,6.41,6.68,2.22,6.17,7.26
198802,6.3,8.61,6.92,8.56,6.7,5.04
198803,5.1,4.85,4.76,-0.41,-0.31,-1.28
198804,2.25,1.65,1.85,-0.25,-0.3,1.08
198805,-2.31,-1.61,-1.46,-0.68,-0.19,1.91
198806,6.25,6.51,5.53,6.53,6.79,6.09
198807,-0.99,-0.06,1.18,-2.68,-1.36,-1.03
198808,-2.79,-1.52,-1.25,-3.06,-1.23,-1.73
198809,2.25,2.95,2.82,3.36,3.94,3.96
198810,-2.06,-0.74,0.53,-0.04,1.41,1.75
198811,-4.76,-2.92,-3.41,-2.11,-2.43,-1.99
198812,3.95,3.45,3.51,2.86,2.27,2.26
198901,5.17,4.77,6.06,6.29,5.81,6.55
198902,0.86,0.28,0.94,-1,-0.37,-0.63
198903,2.2,1.99,3.71,0.33,1.8,2.08
198904,3.68,3.34,3.64,5.65,4.76,4.37
198905,3.45,3.75,3.65,4.97,4.1,4
198906,-2.48,-0.53,-0.24,-1.62,-0.24,0.43
198907,3.11,3.25,3.5,8.05,7.01,6.65
198908,1.52,1.95,2.73,2.29,3.03,3.95
198909,0.22,0.54,0.04,0.15,-1.13,-1.01
198910,-4.19,-4.74,-5.54,-3.19,-3.78,-5.32
198911,-0.62,-0.36,-1.41,1.58,1.38,0.63
198912,-1.14,0.03,-1.18,1.79,1.52,1.57
199001,-5.65,-6.44,-5.56,-6.79,-7.26,-8.46
199002,1.65,2.3,2.62,1.39,1.66,2.4
199003,3.19,3.01,3.1,3.7,1.83,1.65
