Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198002,-0.1557,-1.2248,-0.7734,-2.8582,-3.0839,-3.7036
198003,-17.2274,-16.2837,-18.4355,-12.5981,-9.9869,-11.2593
198004,4.9279,4.1396,5.3811,6.9304,6.5462,5.7805
198005,6.5199,7.3841,7.8565,7.6432,7.129,8.0987
198006,3.969,4.239,4.3972,2.4933,4.0115,3.9322
198007,9.3706,9.0498,11.4671,7.0143,6.7614,10.8293
198008,7.738,7.5934,8.6779,2.7511,2.2608,3.7963
198009,4.9511,3.596,6.0409,2.4426,2.7888,3.6414
198010,3.4993,4.6657,5.2753,0.8539,0.408,1.828
198011,4.3078,5.2418,8.534,5.6763,6.9452,10.4466
198012,-3.2203,-2.3557,-4.9304,-1.6343,-0.4734,-2.4906
198101,2.2991,2.4282,-0.7066,-0.6748,-1.2215,-4.3513
198102,1.5887,1.1855,-0.5956,2.3343,2.6801,0.9262
198103,7.6431,7.5445,8.8102,9.4228,6.3828,7.6355
198104,3.689,3.7444,4.2327,-0.2066,0.0301,0.9257
198105,3.1437,3.5052,4.2579,1.0578,1.9828,2.1773
198106,0.9706,0.6205,-2.2184,0.2074,0.2053,-2.8171
198107,-2.0528,-2.1095,-3.0858,-2.6047,-1.6188,0.3151
198108,-7.7039,-5.9204,-9.2953,-5.0017,-4.9712,-7.3697
198109,-7.8687,-7.6329,-10.5555,-5.7275,-4.1003,-7.4538
198110,6.2117,7.2424,8.4619,5.5984,5.6727,8.8756
198111,1.2392,3.0398,1.0968,3.8155,4.6785,3.3593
198112,-1.5692,-1.0921,-3.0509,-0.99,-2.1279,-3.6404
198201,-0.5858,-1.1701,-2.5361,-2.0838,-2.1074,-4.5647
198202,-2.3995,-2.2947,-5.8086,-2.6764,-2.3034,-7.0525
198203,0.006,-0.5385,-2.1657,-0.3006,0.0136,-2.3385
198204,5.1437,5.443,6.4222,5.9364,4.087,5.8606
198205,-1.4962,-1.1761,-2.2686,-3.7024,-3.7597,-4.3756
198206,-2.4793,-1.9313,-4.4142,-0.6467,-1.3234,-4.3496
198207,-0.0422,-0.6322,-2.6945,-1.9064,-1.9196,-3.41
198208,5.1544,5.824,5.5847,13.2846,11.3239,12.6347
198209,3.6966,4.801,1.6453,1.8939,3.0697,2.0057
198210,12.4467,12.7911,14.0506,14.7516,11.9144,14.4767
198211,11.7564,9.2933,9.554,5.7981,4.9884,6.7499
198212,2.9394,2.079,3.2107,1.8692,1.4019,0.4787
198301,13.1891,9.0018,13.3591,3.8444,2.4494,4.206
198302,8.4419,6.8213,4.1093,3.4497,4.4072,2.9775
198303,7.3887,6.2512,4.2325,5.2417,4.0334,2.996
198304,8.7881,7.9916,7.7751,7.3729,5.9943,6.0314
198305,10.7056,8.2373,11.8237,2.2786,2.1061,4.4749
198306,6.7488,4.4672,4.4903,2.4927,1.9635,4.9396
198307,-0.9377,-0.8459,-2.554,-2.6962,-2.287,-4.103
198308,-4.2289,-2.6498,-4.5267,0.9985,-0.0369,-1.1084
198309,-0.8154,1.1857,-0.4883,3.4901,2.9429,2.3628
198310,-5.3707,-5.1076,-7.2997,-2.0611,-1.6591,-5.1389
198311,3.3992,4.6561,2.0787,5.3831,3.8488,3.8849
198312,-1.729,-1.212,-3.1304,-0.5574,-1.413,-1.8806
198401,2.1499,0.9405,0.3239,-2.4827,-1.2031,-4.2316
198402,-5.5446,-4.9512,-6.3876,-6.0027,-4.3973,-5.5481
198403,1.6016,0.6378,0.2466,2.8137,2.1176,0.5091
198404,-2.1982,-1.0482,-3.3823,-1.1441,-0.0785,-0.5819
198405,-4.8116,-3.6895,-5.1826,-6.6517,-4.9961,-4.4052
198406,1.7734,2.4595,0.9011,2.5008,3.1929,3.447
198407,-6.3485,-2.6301,-5.9429,-4.3647,-1.7094,-2.463
198408,7.7029,8.5926,10.1523,12.8012,11.1233,12.454
198409,-0.0676,1.0224,-1.2548,0.4852,0.9255,-1.0768
198410,-4.362,-1.2849,-2.6149,-1.4853,0.8851,0.0347
198411,-4.8263,-1.812,-4.5599,0.0803,0.2022,-2.4813
198412,-0.3341,1.2258,0.7275,1.6572,2.6917,3.5413
198501,11.8906,10.7763,15.3179,8.8835,8.103,11.7059
198502,6.5243,3.8479,4.6328,1.8198,1.5505,1.5135
198503,-0.4866,-0.7754,-2.7206,1.3151,0.6172,-1.7615
198504,-1.6832,0.1879,-2.5065,-0.93,-0.262,-1.2153
198505,0.9706,2.8257,2.1389,4.1412,6.4447,6.3133
198506,-0.5677,4.2267,-0.1782,0.5415,2.3286,2.4518
198507,2.4284,1.5487,2.318,1.7684,-0.6696,-0.3416
198508,-0.3988,-0.1627,-1.5781,0.4997,-0.0623,-1.3688
