Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197702,0.9011,0.6051,-0.1277,-2.6963,-1.6861,-2.5135
197703,1.205,0.9995,1.1496,0.4113,-0.2188,-0.4508
197704,2.0276,1.9584,1.3402,2.8459,0.9037,0.8661
197705,0.7364,0.2253,0.3564,-1.3868,-0.6619,-0.396
197706,5.918,5.3844,6.1487,4.1557,4.733,6.3474
197707,1.6017,1.7737,1.0311,-2.0003,-1.1243,-1.6358
197708,-0.9484,-0.2535,0.1865,-2.1183,-1.5369,-0.9525
197709,1.027,1.6438,2.1773,-0.6858,-0.1911,0.8497
197710,-2.155,-1.5904,-2.6678,-3.7464,-3.6494,-3.413
197711,7.4068,7.5325,8.1371,5.7465,6.1055,5.7527
197712,1.8798,2.0639,3.6756,0.3299,0.1173,0.9464
197801,0.5379,-0.9031,-1.3455,-4.1047,-4.8827,-6.4445
197802,3.2162,2.7916,3.8638,-1.3595,-0.8534,-0.1631
197803,8.3036,6.8735,7.1278,5.1456,4.542,4.6115
197804,9.0492,7.575,8.5253,6.0545,7.3279,9.6256
197805,9.3639,6.5119,8.556,2.6935,3.0767,4.0555
197806,1.7907,0.8492,0.6775,-0.5806,-0.5232,-1.1501
197807,4.3849,5.1415,6.4769,4.7162,5.8018,6.3943
197808,10.7726,9.4365,11.8028,3.839,4.8534,6.2696
197809,1.5745,0.5542,-0.5061,-0.1999,-1.3971,-1.9139
197810,-20.563,-18.9297,-21.7838,-11.5987,-12.754,-14.2281
197811,3.5012,5.206,6.5596,2.8394,3.2399,4.2892
197812,0.5258,1.5028,2.6939,-0.0607,1.2448,1.6861
197901,11.8502,9.1738,10.424,8.155,5.661,5.5261
197902,-1.4135,-1.6707,-2.8065,-2.4559,-3.2993,-4.1024
197903,8.4552,8.2753,9.4824,7.2346,7.0623,8.0134
197904,3.8657,2.6334,2.7848,-1.406,1.492,1.5099
197905,-0.3817,-1.2945,0.8888,-0.306,-1.0874,-1.9854
197906,5.9797,5.5003,4.5094,6.6106,5.6111,4.5976
197907,1.7782,2.8746,2.6749,2.7072,2.5728,3.0834
197908,7.603,7.7017,8.8406,4.8867,6.8062,7.8527
197909,0.1801,-0.2386,-0.6106,-1.3978,-0.5986,0.2357
197910,-9.775,-9.3174,-10.7573,-8.7251,-8.0854,-8.0031
197911,5.6082,6.1158,8.6867,6.7204,6.1161,8.2079
197912,7.9712,7.0173,7.8156,2.2455,2.8899,4.2689
198001,13.7052,9.1356,9.9532,4.8699,5.1978,5.8947
198002,0.9568,-2.3844,-0.8076,-2.6976,-3.7967,-2.837
198003,-17.8507,-16.0178,-17.849,-11.3903,-10.4488,-11.0571
198004,4.1249,5.2717,5.3376,8.6061,5.3284,5.7393
198005,6.5552,7.1928,8.1657,6.7517,7.8965,7.683
198006,3.4282,4.5256,4.9374,4.3793,3.2132,3.5811
198007,8.8478,10.163,11.7537,3.6428,8.5404,11.3808
198008,7.8983,7.628,8.5662,0.5521,3.6894,3.4699
198009,6.1133,3.6249,5.7879,1.762,3.0775,3.8205
198010,4.5902,4.7015,5.4448,0.0042,1.0001,1.7874
198011,6.202,5.0469,7.8592,3.8584,9.0398,9.7387
198012,-4.1527,-2.8915,-3.5913,-0.4819,-1.5195,-1.8793
198101,1.8846,1.7038,-0.2628,0.6656,-2.5295,-3.8006
198102,0.2338,1.0398,0.4497,1,2.4333,2.6454
198103,7.8401,7.5817,8.4538,8.4035,7.3757,6.5178
198104,3.2066,3.1852,5.3558,-0.6886,0.2479,0.9929
198105,4.0614,2.9814,3.797,2.039,1.1328,2.4805
198106,-1.0324,0.909,-1.2227,1.2622,-1.1056,-1.927
198107,-2.2829,-2.3219,-2.9779,-1.5586,-1.2831,-0.7789
198108,-8.2599,-6.3405,-9.4768,-6.0335,-5.6482,-6.2258
198109,-10.3826,-7.4564,-9.3031,-5.4408,-5.3256,-6.2045
198110,6.4097,6.9583,9.5697,4.4705,6.794,8.7066
198111,-0.6845,2.9882,2.3752,5.8988,3.9353,2.6778
198112,-2.6031,-1.7893,-1.3751,-3.5333,-1.6384,-2.5243
198201,-1.2225,-1.2191,-2.5948,-1.1843,-3.4797,-3.7617
198202,-4.2094,-2.9495,-5.4986,-1.3993,-4.0758,-5.9256
198203,-1.0448,-0.3137,-1.2999,-0.3995,-1.1243,-1.1754
198204,4.4842,5.666,6.8864,3.9409,5.7255,5.1783
198205,-1.7391,-1.818,-2.0849,-4.2302,-4.1086,-3.635
198206,-3.844,-2.4771,-3.5395,-2.0132,-2.6562,-2.4261
198207,-1.8621,-1.1699,-1.3582,-2.9154,-2.3025,-2.3098
198208,4.0817,5.8139,6.0826,14.1397,12.8065,10.0952
198209,2.7001,3.997,3.633,1.544,2.3473,3.2726
198210,11.7253,12.5367,16.847,12.1286,13.2888,14.4889
198211,10.4239,9.7387,10.6015,5.9427,5.5754,6.0776
198212,2.7051,3.0234,2.0496,2.2855,0.6079,0.9073
198301,16.3517,9.1898,9.4314,3.9427,3.6374,2.7407
198302,6.4278,6.1046,5.5627,3.8284,3.6208,3.5175
198303,5.8143,5.4709,4.1043,4.3395,3.825,3.59
198304,8.8625,7.5415,7.6474,6.5747,5.9552,6.3593
198305,12.6498,8.7767,9.1041,2.7011,2.5457,3.8331
198306,6.1772,4.6936,4.5591,0.1226,3.6654,4.5124
198307,-1.7937,-1.2255,-2.1458,-2.6674,-2.6264,-4.2901
198308,-5.0559,-3.0264,-3.1126,0.2804,0.209,-1.3552
198309,-1.8723,1.8141,0.7407,2.9722,3.0831,2.2129
198310,-6.8609,-4.71,-7.285,-2.2505,-2.6232,-4.7786
198311,1.4102,4.7118,4.2761,5.9741,3.6376,4.1278
198312,-3.1155,-1.2207,-1.9998,-2.2124,-1.4018,-1.3386
198401,1.9566,0.2624,-0.7954,-2.3809,-2.2469,-3.7046
198402,-5.5646,-5.3622,-6.8207,-5.6151,-5.4983,-4.5944
198403,0.6137,0.7486,0.3572,2.6037,1.6175,0.9717
198404,-3.2365,-1.1489,-1.4293,-3.9581,0.5016,0.2327
198405,-5.1397,-4.116,-4.2789,-7.5033,-4.4879,-4.506
198406,0.576,2.2237,2.5135,0.9813,2.9257,4.6871
198407,-6.7121,-3.3784,-3.8703,-4.4684,-2.335,-1.3709
198408,7.4393,10.7163,11.0002,13.1759,11.9096,11.7037
198409,-0.7865,0.3836,-0.8042,-0.4188,-0.2579,0.5845
198410,-4.3877,-1.5108,-1.0688,-0.6705,0.1556,0.3381
198411,-5.7741,-2.431,-2.8554,0.0092,-0.5531,-1.3924
198412,-1.0425,1.2047,1.4036,1.6097,2.7956,3.6824
198501,13.5016,12.3792,14.1779,10.464,8.4864,10.0495
198502,6.4823,3.7742,5.0678,-0.0637,1.2628,3.1136
198503,-1.6859,-1.1261,-1.8548,-0.2759,-0.0866,-0.1473
198504,-2.1882,-1.3303,-0.7802,-1.4696,-0.7785,-0.0874
198505,0.358,2.9418,3.6332,4.3487,6.1852,6.3398
198506,0.0523,0.8321,1.2947,1.3348,2.2831,2.2424
198507,1.9639,2.0391,2.4788,0.7257,0.2964,-0.803
198508,-0.9319,-0.6366,-0.9853,-0.4075,-0.1256,-0.5517
198509,-6.9024,-4.6571,-6.223,-5.3552,-3.7435,-4.7568
198510,-0.3282,2.857,2.5192,4.3384,4.6709,5.6644
