Month,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197512,-0.6948,-0.8175,-1.0038,-1.4826,-0.7514,-1.4002
197601,22.1678,17.6288,18.1624,11.7476,12.0993,11.9838
197602,10.8067,7.3999,8.3335,1.7957,-0.1399,-1.0888
197603,1.9997,1.0784,1.512,3.7032,2.1169,3.2449
197604,-1.4479,-0.4737,-1.3259,-2.416,0.1082,-1.703
197605,-3.2884,-1.8624,-1.496,-2.7237,-1.7493,0.5422
197606,4.4342,3.4668,3.6536,5.2721,4.1609,4.9859
197607,0.1052,1.2724,-0.9085,0.2655,-0.628,-0.9972
197608,-2.9438,-0.936,-2.5565,0.8498,0.4601,-0.4257
197609,2.0911,2.5739,3.3344,1.9916,2.5699,2.6643
197610,-2.511,-1.4542,-2.3714,-1.8915,-1.5129,-2.5969
197611,3.8769,2.9707,3.7457,2.0432,0.5705,-0.1909
197612,10.504,9.3319,9.6584,5.6845,5.6007,5.6487
197701,2.5843,2.5142,1.6761,-4.7881,-3.6662,-4.8103
197702,-0.7529,-0.5243,-0.8956,-1.7291,-1.7549,-1.8036
197703,0.1315,0.4683,0.4771,-0.3083,-1.2746,-1.4128
197704,1.7402,1.7358,1.2031,2.8284,0.4775,-0.6401
197705,-0.2101,0.3005,0.2008,-1.8703,-0.2976,-1.5745
197706,7.088,5.8738,7.3521,4.0656,4.2594,5.6867
197707,-0.6369,0.6958,0.2142,-1.7535,-1.3197,-1.4262
197708,-1.2348,-0.6008,0.0242,-2.1164,-1.1781,-1.223
197709,0.7395,1.0122,2.0553,-0.9196,0.32,0.0266
197710,-2.8352,-1.377,-3.2123,-3.761,-4.4043,-3.8925
197711,7.386,7.6185,8.4748,4.7551,4.4167,3.4189
197712,1.9299,1.7065,2.6731,-0.5024,0.6228,0.8386
197801,-1.8221,-2.5292,-4.2728,-5.3796,-5.499,-6.3663
197802,1.8934,2.0155,2.7409,-1.4367,-0.7298,-1.8762
197803,7.1945,6.1989,7.1057,2.9982,3.7289,2.1743
197804,7.1107,7.386,9.6428,7.2826,7.4099,10.0606
197805,6.777,5.0003,7.5405,1.5003,1.7374,1.6317
197806,1.395,0.0323,-0.5892,-1.3221,-0.63,-2.0956
197807,4.9421,5.2132,7.2546,5.1941,5.4311,5.9577
197808,8.7951,7.6404,9.2827,2.0491,3.5474,4.5778
197809,-0.7628,-0.416,-1.939,-0.4544,-0.9532,-0.7913
197810,-21.0163,-18.0654,-21.964,-10.5949,-9.7814,-9.4372
197811,4.9268,5.4552,7.86,3.4441,3.1745,2.9396
197812,2.2143,2.0403,2.7228,-0.6103,1.0194,2.9197
197901,9.894,7.6473,8.5563,7.322,4.074,3.6508
197902,-1.5408,-2.1573,-3.7669,-3.1198,-2.7984,-3.1937
197903,9.2886,8.5573,10.4927,6.1892,5.3382,6.3831
197904,3.1405,2.3281,2.6169,-1.7888,0.6369,1.0963
197905,-0.5544,-1.4271,-1.0603,-0.5096,-1.7016,-1.7647
197906,6.3754,5.8767,5.0965,6.0679,4.3002,3.9243
197907,2.1306,3.6532,3.1841,2.2586,1.5774,0.8803
197908,7.5992,7.3441,9.1493,4.77,6.3569,6.2379
197909,-0.5242,-0.4306,-0.1339,-0.7673,-0.3143,0.5693
197910,-10.3666,-10.1248,-10.1542,-7.7882,-6.8222,-5.9725
197911,8.9695,6.8801,9.7341,6.4725,5.4068,5.9613
197912,7.8678,5.7518,6.4403,1.818,2.1904,1.9489
198001,11.0028,6.9159,7.2093,6.3679,5.1154,6.4367
198002,-0.2933,-2.8257,-1.8704,1.2257,-2.0696,0.5694
198003,-19.7258,-16.1693,-17.6554,-12.2458,-8.8915,-10.7341
198004,6.9096,5.9504,5.5156,6.8771,4.8238,4.0694
198005,7.3856,7.8949,8.7137,5.6074,6.0828,5.246
198006,4.5124,4.5444,4.8144,4.0617,2.2885,3.6307
198007,8.9754,9.1578,13.1688,4.0994,6.3606,7.8101
198008,5.1701,5.7602,7.367,-0.0633,2.4536,1.8579
198009,2.8879,2.4743,5.0368,1.7831,3.0669,3.359
198010,4.1374,3.5531,4.4326,-0.0262,1.4903,2.8752
198011,7.6239,6.3389,8.6971,5.1339,12.4352,12.4999
198012,-4.6554,-1.8941,-3.5189,-0.7279,-2.7361,-4.0723
198101,-0.7199,0.1242,-2.1658,-0.59,-4.5691,-6.1105
198102,0.9942,1.623,1.042,1.0052,2.9836,1.396
198103,7.3465,7.2964,8.6957,8.4101,3.9143,2.3329
198104,1.8915,2.4416,4.9135,-1.2387,-0.9346,-2.52
