Month,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198805,-1.5389,-1.6637,-2.3362,0.2515,1.1104,0.3068
198806,5.4257,7.5442,7.4704,1.8377,5.5917,6.2313
198807,-0.0796,-0.26,-1.9401,-0.6304,-0.2932,-1.6651
198808,-1.7242,-1.9319,-3.7897,-2.3172,-2.3371,-3.8943
198809,2.2769,3.2889,2.2162,3.5046,4.1564,4.5884
198810,-0.6753,-0.5193,-1.0963,3.6617,1.9617,2.0234
198811,-2.4606,-2.9252,-3.9808,-0.4997,-1.5108,-2.2216
198812,4.3885,2.8941,3.8593,1.2504,1.8414,2.5119
198901,5.3831,4.154,4.8415,7.4998,6.3015,7.6724
198902,1.4677,1.2271,-0.032,-0.4934,-2.1582,-2.7692
198903,3.0566,2.9413,3.1525,3.0145,2.2197,1.4209
198904,3.9392,4.0417,4.8978,5.1036,5.1479,5.1644
198905,4.2645,3.6317,4.6049,4.2381,4.3362,3.8031
198906,-0.8563,-0.5107,-2.9657,-0.1936,-0.2181,-1.0861
198907,3.8562,3.7876,4.7356,8.5434,8.0841,8.8942
198908,2.0386,2.8761,2.4591,1.9809,1.7396,2.6143
198909,0.4871,0.214,0.6377,0.9412,-0.5123,-0.4858
198910,-6.7134,-5.2215,-5.9026,-1.5147,-3.248,-2.4416
198911,1.5437,0.2777,0.3612,2.7573,1.944,1.1424
198912,-0.4074,0.302,-0.2694,4.0652,1.7966,0.9608
199001,-7.3081,-7.8089,-9.7671,-6.9931,-7.0224,-7.1215
199002,2.2609,1.9092,3.9231,1.7438,1.4645,1.2913
199003,3.4214,3.2033,4.6634,2.0979,2.0426,2.8386
199004,-3.8382,-2.295,-3.7328,-3.7197,-2.4989,-1.8597
199005,6.3661,6.1268,8.0175,8.4618,9.6362,9.727
199006,1.3394,0.6732,0.3459,-1.8069,-0.4301,0.004
199007,-3.3416,-3.179,-5.3391,1.6985,-0.6326,-2.5228
199008,-12.115,-11.2871,-14.8971,-7.2296,-8.8809,-10.4539
199009,-8.3364,-7.7387,-10.6877,-3.0004,-3.9664,-8.1745
199010,-7.8231,-4.2903,-6.3838,-1.7192,0.6342,-2.2289
199011,4.6229,5.6786,9.303,4.8039,6.2109,9.5855
199012,2.0454,4.2707,3.7558,2.2268,2.3962,4.6618
199101,8.8459,6.8616,9.5603,0.9806,4.1919,8.4385
199102,12.2683,9.9166,11.572,6.7718,7.0393,7.8216
199103,7.0743,4.4187,7.8053,1.9925,2.7027,3.2393
199104,0.5368,1.0978,0.1244,1.3337,-0.2449,0.45
199105,4.075,3.8124,4.5134,1.3597,3.8988,5.7743
199106,-5.2345,-2.5491,-5.177,-3.7234,-4.4173,-5.0381
199107,3.0536,2.37,4.7331,4.4012,4.1779,5.594
199108,3.9771,3.1245,4.2093,3.0658,1.7491,3.5472
199109,0.3029,0.0697,1.1811,-0.7493,-0.8939,-1.9308
199110,2.3524,1.622,3.3843,1.7398,1.7252,1.2772
199111,-4.1716,-3.94,-5.2351,-3.2821,-4.9708,-2.2114
199112,7.2651,7.5787,9.1985,9.8813,9.27,14.0456
199201,11.6275,7.705,6.9832,0.6366,-2.2028,-1.1763
199202,4.3341,3.1692,2.1382,2.6237,1.2444,0.6646
199203,-1.5392,-1.1697,-4.968,-1.7961,-1.8531,-2.4562
199204,-2.8466,-1.3773,-5.0812,2.6165,4.0721,0.4726
199205,1.2424,1.297,-0.0631,0.3361,0.6032,0.7852
199206,-4.4078,-2.6806,-5.3863,-1.3442,-1.048,-2.4926
199207,2.6111,3.6977,3.0381,3.3368,4.0694,4.5477
199208,-4.5547,-2.1491,-2.9589,-3.4775,-1.7687,-1.9341
199209,1.4776,1.491,1.9619,1.177,0.8656,1.8847
199210,2.5858,2.5723,3.6583,1.9777,-0.7619,2.6748
199211,7.1884,7.0564,8.9286,3.4208,2.7487,5.1347
199212,4.4925,3.6477,2.6195,1.6157,1.2964,1.8512
199301,5.1047,3.7706,2.3856,3.1709,0.6805,0.0891
199302,-0.7758,-0.0415,-4.551,2.823,2.5149,-1.5875
199303,3.0331,3.1779,1.954,2.867,2.5845,2.1652
199304,-2.9178,-3.0782,-2.854,-1.3035,-1.9383,-4.1923
199305,4.9646,2.6758,5.869,2.7483,2.0765,3.8846
199306,1.6888,1.308,0.2108,0.5947,1.0719,-0.3388
199307,1.8139,1.6299,0.1244,0.4721,0.5469,-1.8626
199308,4.2907,3.5588,4.5398,4.1391,3.5278,3.9581
199309,2.6052,1.9644,3.3534,0.4833,-0.8707,-0.0518
199310,3.9685,2.2913,3.0917,1.8081,1.4141,1.4192
199311,-3.2093,-2.7467,-2.9409,-1.911,-1.8284,-0.2585
199312,2.8711,3.1539,3.2996,1.4449,1.8407,1.6682
199401,4.5438,2.1469,2.8618,4.2419,2.5977,2.9484
199402,-0.322,-0.3633,-0.1872,-3.418,-3.1199,-1.5034
199403,-4.7094,-4.3419,-6.5964,-4.1328,-3.9241,-4.76
199404,0.1153,0.6378,-0.4951,1.9957,1.4423,0.3752
199405,-0.9426,-0.8661,-2.1964,1.8147,0.8118,1.6135
199406,-2.3074,-2.0123,-4.6815,-2.8738,-1.6331,-3.5282
199407,2.1198,1.6527,1.4933,3.4485,2.922,3.798
199408,5.0988,4.326,6.8492,4.0668,3.6235,5.1863
199409,0.6809,0.1767,-0.1085,-2.0234,-1.826,-3.1389
199410,-0.4001,-0.1887,-0.0162,1.6568,1.9709,2.5478
199411,-3.6219,-3.6981,-3.6181,-4.4319,-3.12,-3.5241
199412,1.4916,1.8826,1.0769,1.3412,1.4473,1.1467
199501,-0.4559,-0.4066,-0.4966,1.4455,2.7931,3.1666
199502,2.9108,3.6147,4.0664,4.7887,3.6017,4.2853
199503,1.627,1.3409,2.9213,4.1672,2.1066,2.4761
199504,2.823,3.0471,1.6044,2.9915,2.7707,2.1836
199505,1.9791,1.8569,1.1773,3.5176,3.6346,4.1536
199506,5.9719,3.8018,6.6177,0.885,1.8592,5.0925
199507,5.7574,4.5274,7.2222,3.3861,3.0375,5.3693
199508,4.4463,2.7849,1.8629,1.177,0.7209,0.5341
199509,2.5805,1.9018,1.6181,3.7813,4.3176,4.0479
199510,-5.6636,-3.9231,-5.8264,-0.9606,-0.2093,-0.72
199511,3.5413,2.7872,3.696,5.0372,5.6406,2.5522
199512,3.4983,2.276,1.4687,2.9277,2.4825,-1.0008
199601,2.0717,0.3637,-0.6916,4.2937,2.9348,2.3133
199602,2.5881,2.8592,4.3294,1.0879,0.9094,2.8841
199603,1.2031,2.5956,2.988,0.7418,1.0854,0.8889
199604,5.7743,4.033,8.0586,1.422,0.6457,3.5695
199605,6.9829,4.0919,5.1462,1.2589,2.1934,3.5063
199606,-4.1602,-2.8113,-4.623,0.6217,0.4602,-1.151
